OBJECTID,REG,PROV,COM,Seleccionados,Pagados,CUT,Programa,Capa,Shape_Length,Shape_Area
52,05,054,05402,71,41,05402,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,2.53650032083825,0.139512040189602
53,05,054,05403,22,10,05403,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,0.695882409458854,0.0160240241811243
54,05,054,05404,19,10,05404,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,2.19046323671234,0.144958477008271
55,05,054,05405,18,7,05405,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,0.993706354299772,0.0276768488871311
56,05,055,05502,186,81,05502,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,0.556788658890578,0.00570615366590264
57,05,055,05503,51,29,05503,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,0.894720022214204,0.025831630860587
58,05,055,05504,70,30,05504,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,0.493024258566769,0.00756105807489943
59,05,055,05506,33,12,05506,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.04062097628251,0.0389811642770745
60,05,056,05601,336,110,05601,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.24872529407275,0.0386299720794145
61,05,056,05602,25,11,05602,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,0.740441395212165,0.017062058901882
62,05,056,05603,39,9,05603,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,0.940194503232169,0.0236989593837503
63,05,056,05604,40,13,05604,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,0.442295067120507,0.00500187167294125
64,05,056,05605,28,11,05605,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,0.614939153113028,0.00964640912486019
65,05,056,05606,24,11,05606,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.2497028135931,0.0522487997331488
66,05,057,05701,326,187,05701,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,0.948232190240724,0.0179752941521172
67,05,057,05702,34,19,05702,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,0.939607350651638,0.0347991451284842
68,05,057,05703,70,36,05703,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,0.989796018870962,0.0336155231007476
69,05,057,05704,13,7,05704,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,0.578501352281679,0.0116733311798058
70,05,057,05705,40,21,05705,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,2.23712721036207,0.139263864378169
71,05,057,05706,46,24,05706,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,0.749106594283632,0.0159366147637063
72,05,058,05801,482,178,05801,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.62494008404501,0.0518312645741608
73,05,058,05803,18,6,05803,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,0.70256840914841,0.0223240147434076
74,06,061,06101,1083,603,06101,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,0.808577975606059,0.0255032751240563
75,06,061,06102,17,8,06102,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.25355263393089,0.0277373456103284
76,06,061,06103,8,5,06103,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,0.629145448242368,0.00953095737724938
77,06,061,06104,39,15,06104,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,0.87948978430625,0.0216956536890114
78,06,061,06105,50,18,06105,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,0.465888047526805,0.00790368796183539
