Maule,	Curicó,	Licantén,	22,	12,	07303,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Maule,	Curicó,	Molina,	78,	40,	07304,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Maule,	Curicó,	Rauco,	14,	9,	07305,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Maule,	Curicó,	Romeral,	40,	22,	07306,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Maule,	Curicó,	Sagrada,Familia,	26,	12,	07307,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Maule,	Curicó,	Teno,	56,	34,	07308,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Maule,	Curicó,	Vichuquén,	4,	3,	07309,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Maule,	Linares,	Linares,	528,	302,	07401,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Maule,	Linares,	Colbún,	30,	9,	07402,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Maule,	Linares,	Longaví,	35,	16,	07403,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Maule,	Linares,	Parral,	109,	65,	07404,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Maule,	Linares,	Retiro,	15,	10,	07405,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Maule,	Linares,	San,Javier,	52,	31,	07406,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Maule,	Linares,	Villa,Alegre,	19,	13,	07407,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Maule,	Linares,	Yerbas,Buenas,	31,	17,	07408,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Biobío,	Concepción,	Coronel,	51,	27,	08102,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Biobío,	Concepción,	Florida,	25,	13,	08104,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Biobío,	Concepción,	Lota,	23,	15,	08106,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Biobío,	Concepción,	Santa,Juana,	68,	36,	08109,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Biobío,	Concepción,	Talcahuano,	13,	3,	08110,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Biobío,	Arauco,	Lebu,	14,	8,	08201,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Biobío,	Arauco,	Arauco,	9,	7,	08202,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Biobío,	Arauco,	Cañete,	10,	5,	08203,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Biobío,	Arauco,	Contulmo,	13,	6,	08204,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Biobío,	Arauco,	Curanilahue,	161,	96,	08205,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Biobío,	Arauco,	Los,Alamos,	48,	25,	08206,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Biobío,	Arauco,	Tirúa,	13,	9,	08207,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Biobío,	Biobío,	Los,Angeles,	11,	5,	08301,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Biobío,	Biobío,	Antuco,	27,	17,	08302,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Biobío,	Biobío,	Cabrero,	730,	293,	08303,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Biobío,	Biobío,	Laja,	305,	153,	08304,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Biobío,	Biobío,	Mulchén,	359,	156,	08305,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Biobío,	Biobío,	Nacimiento,	25,	8,	08306,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Biobío,	Biobío,	Negrete,	90,	41,	08307,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Biobío,	Biobío,	Quilaco,	135,	51,	08308,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Biobío,	Biobío,	Quilleco,	192,	73,	08309,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Biobío,	Biobío,	San,Rosendo,	356,	181,	08310,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Biobío,	Biobío,	Santa,Bárbara,	27,	15,	08311,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Biobío,	Biobío,	Tucapel,	693,	253,	08312,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Biobío,	Biobío,	Yumbel,	174,	85,	08313,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Biobío,	Biobío,	Alto,Biobío,	541,	262,	08314,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
La,Araucanía,	Cautín,	Temuco,	1423,	724,	09101,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
La,Araucanía,	Cautín,	Carahue,	82,	41,	09102,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
La,Araucanía,	Cautín,	Cunco,	40,	24,	09103,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
La,Araucanía,	Cautín,	Curarrehue,	26,	12,	09104,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
La,Araucanía,	Cautín,	Freire,	56,	25,	09105,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
La,Araucanía,	Cautín,	Galvarino,	20,	8,	09106,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
La,Araucanía,	Cautín,	Gorbea,	67,	27,	09107,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
La,Araucanía,	Cautín,	Lautaro,	140,	71,	09108,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
La,Araucanía,	Cautín,	Loncoche,	75,	32,	09109,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
