_id,Region,Cod.Comuna,Glosa.Comuna,No en PBS,Mto.en PBS,No sin PBS,Mto.sin PBS,No en APS Internas,Mto.en APS Internas,Total No,Total Mto. m$
96,6.0,6114,QUINTA DE TILCOCO,158,1662.281999999999925421434454619884490966796875,4,198.53800000000001091393642127513885498046875,9,129.330999999999988858689903281629085540771484375,171,1990.150999999999839928932487964630126953125
97,6.0,6115,RENGO,523,5308.8270000000002255546860396862030029296875,44,912.6680000000000063664629124104976654052734375,40,656.4009999999999536157702095806598663330078125,607,6877.8959999999997307895682752132415771484375
98,6.0,6116,REQUINOA,198,2110.36000000000012732925824820995330810546875,24,470.57499999999998863131622783839702606201171875,13,122.506000000000000227373675443232059478759765625,235,2703.4409999999998035491444170475006103515625
99,6.0,6117,SAN VICENTE,617,5966.9170000000003710738383233547210693359375,42,474.84399999999999408828443847596645355224609375,40,487.6779999999999972715158946812152862548828125,699,6929.439000000000305590219795703887939453125
100,6.0,6201,PICHILEMU,237,2434.0929999999998472048901021480560302734375,17,218.53800000000001091393642127513885498046875,7,90.1269999999999953388396534137427806854248046875,261,2742.757999999999810825102031230926513671875
101,6.0,6202,LA ESTRELLA,54,563.30999999999994543031789362430572509765625,2,17.760000000000001563194018672220408916473388671875,1,4.98599999999999976552089719916693866252899169921875,57,586.0559999999999263309291563928127288818359375
102,6.0,6203,LITUECHE,99,1040.3789999999999054125510156154632568359375,3,15.83500000000000085265128291212022304534912109375,7,159.0620000000000118234311230480670928955078125,109,1215.275999999999839928932487964630126953125
103,6.0,6204,MARCHIHUE,118,1247.3170000000000072759576141834259033203125,5,60.554000000000002046363078989088535308837890625,2,28.446999999999999175770426518283784389495849609375,125,1336.317999999999983629095368087291717529296875
104,6.0,6205,NAVIDAD,146,1490.683999999999969077180139720439910888671875,3,30.82000000000000028421709430404007434844970703125,3,63.6880000000000023874235921539366245269775390625,152,1585.1920000000000072759576141834259033203125
105,6.0,6206,PAREDONES,127,1534.013999999999896317603997886180877685546875,5,64.0799999999999982946974341757595539093017578125,11,262.66199999999997771737980656325817108154296875,143,1860.75599999999985811882652342319488525390625
106,6.0,6301,SAN FERNANDO,708,7475.725000000000363797880709171295166015625,81,1049.40799999999990177457220852375030517578125,83,1493.1379999999999199644662439823150634765625,872,10018.2710000000006402842700481414794921875
107,6.0,6302,CHEPICA,174,2044.777000000000043655745685100555419921875,11,123.7999999999999971578290569595992565155029296875,8,181.64199999999999590727384202182292938232421875,193,2350.2190000000000509317032992839813232421875
108,6.0,6303,CHIMBARONGO,389,4420.466000000000349245965480804443359375,29,404.3600000000000136424205265939235687255859375,19,485.5710000000000263753463514149188995361328125,437,5310.3969999999999345163814723491668701171875
109,6.0,6304,LOLOL,117,1400.313000000000101863406598567962646484375,3,42.99199999999999732835931354202330112457275390625,10,192.67599999999998772182152606546878814697265625,130,1635.980999999999994543031789362430572509765625
110,6.0,6305,NANCAGUA,152,1650.189000000000078216544352471828460693359375,12,141.1100000000000136424205265939235687255859375,12,237.676999999999992496668710373342037200927734375,176,2028.975999999999885403667576611042022705078125
111,6.0,6306,PALMILLA,99,1110.4960000000000945874489843845367431640625,4,57.558999999999997498889570124447345733642578125,1,43.69200000000000017053025658242404460906982421875,104,1211.747000000000070940586738288402557373046875
112,6.0,6307,PERALILLO,155,1783.7899999999999636202119290828704833984375,8,121.106999999999999317878973670303821563720703125,13,178.52600000000001045918907038867473602294921875,176,2083.4229999999997744453139603137969970703125
113,6.0,6308,PLACILLA,63,731.712999999999965439201332628726959228515625,5,55.090000000000003410605131648480892181396484375,2,23.946999999999999175770426518283784389495849609375,70,810.75
114,6.0,6309,PUMANQUE,69,708.037000000000034560798667371273040771484375,3,35.679000000000002046363078989088535308837890625,3,28.58800000000000096633812063373625278472900390625,75,772.3039999999999736246536485850811004638671875
115,6.0,6310,SANTA CRUZ,669,7130.8919999999998253770172595977783203125,35,408.7730000000000245563569478690624237060546875,100,1716.576999999999998181010596454143524169921875,804,9256.242000000000189174897968769073486328125
116,7.0,7101,TALCA,2629,25643.2609999999986030161380767822265625,197,2116.581000000000130967237055301666259765625,137,2031.3389999999999417923390865325927734375,2963,29791.180999999996856786310672760009765625
117,7.0,7102,CONSTITUCION,593,6926.935999999999694409780204296112060546875,33,416.95800000000002683009370230138301849365234375,25,404.62799999999998590283212251961231231689453125,651,7748.521999999999025021679699420928955078125
118,7.0,7103,CUREPTO,247,2840.83599999999978535925038158893585205078125,3,36.6970000000000027284841053187847137451171875,24,431.4510000000000218278728425502777099609375,274,3308.98399999999992360244505107402801513671875
119,7.0,7104,EMPEDRADO,82,981.2659999999999627107172273099422454833984375,1,5.868999999999999772626324556767940521240234375,1,27.48100000000000164845914696343243122100830078125,84,1014.615999999999985448084771633148193359375
